Site : Miquelon (Saint-Pierre_et_Miquelon)
latitude : 47.103832 - longitude : -56.373833
Système horaire : HEURES LOCALES -03h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	03:05	1.80	000	15:47	1.80	000	08:44	0.95	21:47	1.00
2021-08-02	03:58	1.70	000	16:49	1.80	000	09:52	1.00	22:56	1.05
2021-08-03	04:59	1.70	000	17:50	1.85	000	11:09	1.00	--:--	--.--
2021-08-04	06:02	1.70	000	18:47	1.90	000	00:01	1.05	12:12	0.95
2021-08-05	07:00	1.75	000	19:36	2.00	000	00:59	1.00	13:03	0.85
2021-08-06	07:49	1.80	000	20:20	2.05	000	01:49	0.90	13:46	0.80
2021-08-07	08:32	1.90	000	21:00	2.15	000	02:30	0.85	14:25	0.70
2021-08-08	09:12	1.95	000	21:40	2.20	000	03:08	0.75	15:04	0.65
2021-08-09	09:51	2.05	000	22:19	2.20	000	03:43	0.70	15:43	0.60
2021-08-10	10:31	2.10	000	23:00	2.20	000	04:18	0.65	16:24	0.60
2021-08-11	11:11	2.15	000	23:41	2.20	000	04:55	0.60	17:07	0.60
2021-08-12	11:54	2.15	000	--:--	--.--	---	05:33	0.60	17:52	0.65
2021-08-13	00:24	2.15	000	12:39	2.10	000	06:13	0.65	18:39	0.70
2021-08-14	01:09	2.05	000	13:30	2.10	000	06:56	0.70	19:30	0.75
2021-08-15	02:00	2.00	000	14:27	2.05	000	07:44	0.75	20:30	0.85
2021-08-16	02:57	1.90	000	15:33	2.00	000	08:44	0.80	21:42	0.90
2021-08-17	04:02	1.85	000	16:44	2.00	000	10:00	0.85	23:03	0.90
2021-08-18	05:15	1.85	000	17:55	2.05	000	11:23	0.80	--:--	--.--
2021-08-19	06:27	1.90	000	19:00	2.15	000	00:18	0.90	12:33	0.75
2021-08-20	07:30	2.00	000	19:59	2.25	000	01:20	0.80	13:31	0.65
2021-08-21	08:25	2.05	000	20:50	2.30	000	02:12	0.75	14:20	0.55
2021-08-22	09:13	2.15	000	21:37	2.30	000	02:56	0.65	15:05	0.55
2021-08-23	09:57	2.20	000	22:20	2.25	000	03:35	0.65	15:47	0.50
2021-08-24	10:37	2.20	000	23:00	2.20	000	04:11	0.60	16:26	0.55
2021-08-25	11:16	2.15	000	23:39	2.15	000	04:44	0.65	17:04	0.60
2021-08-26	11:54	2.10	000	--:--	--.--	---	05:17	0.70	17:41	0.70
2021-08-27	00:17	2.05	000	12:33	2.05	000	05:51	0.75	18:20	0.80
2021-08-28	00:54	1.95	000	13:14	1.95	000	06:27	0.80	19:02	0.90
2021-08-29	01:34	1.85	000	14:01	1.90	000	07:06	0.90	19:50	1.00
2021-08-30	02:18	1.80	000	14:57	1.85	000	07:51	1.00	20:51	1.10
2021-08-31	03:10	1.70	000	16:01	1.80	000	08:51	1.05	22:10	1.10
