Site : Granville Le Cocaleu (Manche)
latitude : 48.834167 - longitude : -1.644333
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	00:04	11.25	064	12:35	10.55	058	07:12	3.20	19:31	3.95
2021-06-02	01:00	10.50	053	13:36	9.95	049	08:03	3.80	20:29	4.45
2021-06-03	02:06	10.00	047	14:45	9.65	045	09:04	4.20	21:36	4.65
2021-06-04	03:17	9.80	046	15:54	9.70	047	10:09	4.25	22:45	4.45
2021-06-05	04:23	9.95	049	16:55	10.05	052	11:13	4.05	23:47	4.10
2021-06-06	05:20	10.30	054	17:46	10.50	057	12:11	3.70	--:--	--.--
2021-06-07	06:08	10.65	060	18:30	10.95	063	00:41	3.70	13:02	3.35
2021-06-08	06:51	11.00	065	19:09	11.30	068	01:28	3.30	13:47	3.05
2021-06-09	07:30	11.25	069	19:45	11.60	071	02:11	3.00	14:27	2.85
2021-06-10	08:06	11.45	072	20:19	11.75	073	02:49	2.80	15:03	2.70
2021-06-11	08:41	11.50	073	20:52	11.85	073	03:24	2.70	15:37	2.70
2021-06-12	09:14	11.50	073	21:25	11.85	072	03:58	2.65	16:09	2.75
2021-06-13	09:49	11.45	071	21:59	11.70	069	04:31	2.70	16:42	2.90
2021-06-14	10:25	11.25	067	22:37	11.45	065	05:05	2.85	17:17	3.15
2021-06-15	11:05	10.95	063	23:18	11.10	060	05:42	3.10	17:55	3.50
2021-06-16	11:49	10.60	058	--:--	--.--	---	06:22	3.40	18:38	3.85
2021-06-17	00:04	10.65	055	12:40	10.20	053	07:09	3.75	19:30	4.10
2021-06-18	01:00	10.35	052	13:41	10.00	051	08:04	3.95	20:33	4.25
2021-06-19	02:06	10.20	051	14:51	10.05	053	09:10	3.95	21:44	4.10
2021-06-20	03:17	10.40	056	16:02	10.40	059	10:23	3.70	22:58	3.70
2021-06-21	04:27	10.80	063	17:08	10.95	068	11:35	3.25	--:--	--.--
2021-06-22	05:32	11.35	073	18:09	11.65	078	00:08	3.10	12:43	2.70
2021-06-23	06:34	11.85	082	19:06	12.25	086	01:14	2.50	13:46	2.20
2021-06-24	07:31	12.30	090	19:58	12.65	092	02:15	1.90	14:44	1.80
2021-06-25	08:24	12.55	094	20:47	12.90	095	03:11	1.50	15:36	1.65
2021-06-26	09:14	12.60	094	21:35	12.90	093	04:02	1.35	16:24	1.70
2021-06-27	10:02	12.50	091	22:20	12.70	088	04:49	1.40	17:08	1.90
2021-06-28	10:47	12.15	084	23:04	12.25	080	05:33	1.65	17:50	2.30
2021-06-29	11:30	11.65	075	23:47	11.65	070	06:15	2.15	18:30	2.85
2021-06-30	12:13	11.05	065	--:--	--.--	---	06:55	2.75	19:10	3.40
