Site : Papeete [Polynesie francaise] (Polynésie_française)
latitude : -17.533333 - longitude : -149.566666
Système horaire : HEURES LOCALES -10h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	02:35	0.50	000	18:28	0.55	000	11:10	0.45	--:--	--.--
2021-07-02	08:54	0.50	000	20:18	0.55	000	05:33	0.50	13:24	0.45
2021-07-03	09:57	0.50	000	22:03	0.55	000	05:11	0.45	15:11	0.45
2021-07-04	10:32	0.55	000	22:55	0.55	000	05:11	0.45	16:12	0.45
2021-07-05	11:00	0.55	000	23:29	0.55	000	05:19	0.45	16:55	0.40
2021-07-06	11:25	0.55	000	23:58	0.60	000	05:32	0.40	17:31	0.40
2021-07-07	11:49	0.55	000	--:--	--.--	---	05:49	0.40	18:02	0.40
2021-07-08	00:23	0.60	000	12:14	0.55	000	06:07	0.40	18:32	0.40
2021-07-09	00:47	0.60	000	12:38	0.60	000	06:27	0.40	19:01	0.40
2021-07-10	01:10	0.60	000	13:04	0.60	000	06:49	0.40	19:30	0.40
2021-07-11	01:30	0.60	000	13:30	0.60	000	07:11	0.40	19:58	0.40
2021-07-12	01:48	0.55	000	14:00	0.60	000	07:35	0.40	20:26	0.40
2021-07-13	02:05	0.55	000	14:34	0.60	000	08:01	0.40	20:56	0.45
2021-07-14	02:21	0.55	000	15:14	0.60	000	08:31	0.40	21:26	0.45
2021-07-15	02:37	0.55	000	15:59	0.55	000	09:06	0.40	21:59	0.50
2021-07-16	02:49	0.55	000	16:55	0.55	000	09:52	0.45	22:39	0.50
2021-07-17	02:37	0.50	000	18:24	0.55	000	11:08	0.45	--:--	--.--
2021-07-18	08:17	0.50	000	22:13	0.55	000	05:24	0.50	13:15	0.45
2021-07-19	09:44	0.50	000	23:13	0.55	000	04:59	0.45	15:20	0.45
2021-07-20	10:32	0.55	000	23:46	0.55	000	05:13	0.45	16:35	0.40
2021-07-21	11:12	0.55	000	--:--	--.--	---	05:34	0.40	17:26	0.40
2021-07-22	00:13	0.60	000	11:49	0.60	000	05:58	0.40	18:08	0.40
2021-07-23	00:38	0.60	000	12:25	0.60	000	06:23	0.40	18:45	0.35
2021-07-24	01:01	0.60	000	13:01	0.60	000	06:50	0.35	19:19	0.35
2021-07-25	01:23	0.60	000	13:37	0.65	000	07:17	0.35	19:51	0.40
2021-07-26	01:44	0.60	000	14:13	0.65	000	07:44	0.35	20:21	0.40
2021-07-27	02:02	0.60	000	14:47	0.60	000	08:11	0.35	20:50	0.40
2021-07-28	02:17	0.60	000	15:22	0.60	000	08:36	0.40	21:16	0.45
2021-07-29	02:29	0.55	000	15:58	0.60	000	08:58	0.40	21:39	0.45
2021-07-30	02:32	0.55	000	16:39	0.55	000	09:15	0.45	21:58	0.50
2021-07-31	02:20	0.50	000	17:51	0.50	000	09:05	0.45	--:--	--.--
