Site : Paimpol (Côtes-d'Armor)
latitude : 48.791668 - longitude : -2.945833
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	00:17	9.35	060	12:43	8.90	055	06:51	2.95	19:10	3.50
2021-07-02	01:05	8.85	051	13:33	8.50	047	07:38	3.40	20:02	3.90
2021-07-03	02:01	8.45	044	14:32	8.30	043	08:32	3.75	21:04	4.05
2021-07-04	03:05	8.25	042	15:39	8.30	042	09:34	3.85	22:11	4.00
2021-07-05	04:11	8.30	043	16:42	8.50	046	10:37	3.75	23:12	3.75
2021-07-06	05:11	8.50	048	17:37	8.85	051	11:35	3.55	--:--	--.--
2021-07-07	06:03	8.85	054	18:23	9.20	057	00:05	3.40	12:25	3.20
2021-07-08	06:49	9.15	060	19:05	9.55	063	00:52	3.05	13:10	2.95
2021-07-09	07:31	9.45	066	19:44	9.85	068	01:34	2.75	13:51	2.70
2021-07-10	08:10	9.65	071	20:22	10.05	072	02:14	2.45	14:30	2.50
2021-07-11	08:48	9.80	074	20:59	10.20	075	02:52	2.25	15:09	2.35
2021-07-12	09:26	9.90	076	21:36	10.25	076	03:31	2.15	15:47	2.30
2021-07-13	10:05	9.90	076	22:15	10.20	076	04:10	2.10	16:26	2.30
2021-07-14	10:44	9.80	075	22:55	10.00	073	04:50	2.15	17:06	2.40
2021-07-15	11:24	9.60	071	23:37	9.75	068	05:31	2.30	17:48	2.65
2021-07-16	12:08	9.30	066	--:--	--.--	---	06:14	2.55	18:34	2.90
2021-07-17	00:24	9.40	063	12:57	9.00	060	07:02	2.85	19:26	3.20
2021-07-18	01:18	9.10	058	13:56	8.75	056	07:57	3.15	20:29	3.40
2021-07-19	02:23	8.90	055	15:07	8.70	055	09:03	3.30	21:42	3.40
2021-07-20	03:40	8.85	057	16:25	8.95	059	10:18	3.20	22:57	3.10
2021-07-21	04:57	9.10	063	17:36	9.40	067	11:32	2.90	--:--	--.--
2021-07-22	06:07	9.50	072	18:39	9.95	077	00:07	2.60	12:39	2.50
2021-07-23	07:10	9.95	081	19:35	10.40	085	01:10	2.10	13:38	2.10
2021-07-24	08:05	10.30	088	20:25	10.75	091	02:07	1.65	14:31	1.80
2021-07-25	08:54	10.50	092	21:12	10.90	093	02:58	1.40	15:19	1.65
2021-07-26	09:39	10.55	092	21:54	10.85	091	03:44	1.30	16:03	1.65
2021-07-27	10:19	10.45	089	22:33	10.60	085	04:26	1.40	16:42	1.80
2021-07-28	10:55	10.15	081	23:09	10.20	077	05:05	1.65	17:19	2.15
2021-07-29	11:29	9.75	072	23:44	9.70	066	05:40	2.10	17:54	2.60
2021-07-30	12:02	9.25	061	--:--	--.--	---	06:14	2.60	18:28	3.15
2021-07-31	00:19	9.10	055	12:38	8.75	050	06:49	3.15	19:06	3.65
