Site : Saint-Martin de Ré (Charente-Maritime)
latitude : 46.208000 - longitude : -1.365500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	11:15	4.60	040	--:--	--.--	---	05:21	2.45	17:55	2.60
2021-08-02	00:03	4.65	036	13:20	4.55	034	06:16	2.65	18:58	2.75
2021-08-03	01:36	4.65	033	14:30	4.70	035	07:22	2.75	20:06	2.70
2021-08-04	02:46	4.75	037	15:19	4.90	041	08:30	2.65	21:09	2.55
2021-08-05	03:39	4.90	045	16:01	5.10	050	09:30	2.45	22:01	2.25
2021-08-06	04:23	5.10	055	16:37	5.35	060	10:18	2.15	22:47	1.95
2021-08-07	05:02	5.30	064	17:11	5.55	069	11:00	1.85	23:28	1.60
2021-08-08	05:37	5.50	073	17:44	5.70	077	11:39	1.55	--:--	--.--
2021-08-09	06:10	5.65	081	18:17	5.85	084	00:07	1.35	12:18	1.30
2021-08-10	06:43	5.75	086	18:51	5.95	088	00:46	1.15	12:56	1.15
2021-08-11	07:17	5.80	089	19:27	6.00	089	01:24	1.00	13:34	1.10
2021-08-12	07:54	5.75	088	20:06	5.90	086	02:01	1.00	14:13	1.15
2021-08-13	08:33	5.65	084	20:50	5.70	080	02:41	1.10	14:54	1.30
2021-08-14	09:19	5.45	076	21:41	5.45	071	03:22	1.35	15:40	1.55
2021-08-15	10:20	5.20	066	22:54	5.15	060	04:08	1.65	16:31	1.80
2021-08-16	11:53	5.00	055	--:--	--.--	---	05:02	2.00	17:32	2.10
2021-08-17	00:37	5.00	051	13:27	5.05	049	06:08	2.25	18:44	2.25
2021-08-18	02:06	5.05	048	14:39	5.25	050	07:25	2.35	20:02	2.15
2021-08-19	03:17	5.20	054	15:38	5.55	060	08:43	2.15	21:17	1.85
2021-08-20	04:15	5.45	066	16:28	5.80	072	09:50	1.80	22:21	1.45
2021-08-21	05:03	5.65	078	17:12	6.05	083	10:47	1.40	23:14	1.10
2021-08-22	05:43	5.80	088	17:50	6.20	091	11:36	1.10	--:--	--.--
2021-08-23	06:18	5.85	093	18:25	6.20	094	00:02	0.85	12:20	0.95
2021-08-24	06:48	5.85	095	18:55	6.15	094	00:44	0.75	13:01	0.90
2021-08-25	07:13	5.75	092	19:22	6.00	089	01:24	0.85	13:40	1.00
2021-08-26	07:35	5.65	085	19:50	5.80	081	02:01	1.05	14:17	1.25
2021-08-27	08:00	5.45	076	20:21	5.55	071	02:36	1.35	14:54	1.60
2021-08-28	08:28	5.25	065	20:57	5.25	059	03:11	1.70	15:31	1.95
2021-08-29	09:00	5.00	052	21:39	4.90	046	03:48	2.10	16:11	2.35
2021-08-30	09:41	4.70	040	22:53	4.60	034	04:27	2.45	16:58	2.70
2021-08-31	12:05	4.45	030	--:--	--.--	---	05:16	2.80	18:01	2.95
