Site : Granville Le Cocaleu (Manche)
latitude : 48.834167 - longitude : -1.644333
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	02:19	8.60	027	15:11	8.70	027	09:02	5.55	21:59	5.60
2021-09-02	04:12	8.60	029	16:45	9.05	034	10:40	5.50	23:36	5.10
2021-09-03	05:28	9.25	039	17:50	9.85	046	12:07	4.85	--:--	--.--
2021-09-04	06:24	10.10	053	18:41	10.75	060	00:47	4.20	13:11	3.95
2021-09-05	07:10	11.00	067	19:25	11.60	073	01:41	3.25	14:03	3.05
2021-09-06	07:52	11.80	079	20:06	12.35	085	02:30	2.45	14:50	2.30
2021-09-07	08:31	12.40	090	20:45	12.95	094	03:16	1.80	15:34	1.70
2021-09-08	09:09	12.85	097	21:23	13.30	100	03:59	1.30	16:15	1.25
2021-09-09	09:46	13.10	101	22:00	13.45	100	04:39	1.00	16:53	1.10
2021-09-10	10:22	13.05	099	22:37	13.25	096	05:16	1.05	17:29	1.30
2021-09-11	10:58	12.75	092	23:13	12.70	087	05:50	1.40	18:04	1.80
2021-09-12	11:35	12.15	081	23:52	11.85	073	06:24	2.10	18:39	2.55
2021-09-13	12:15	11.30	066	--:--	--.--	---	06:58	3.00	19:19	3.45
2021-09-14	00:39	10.85	058	13:09	10.40	051	07:41	3.95	20:16	4.25
2021-09-15	01:48	9.90	045	14:35	9.70	042	08:47	4.70	21:41	4.65
2021-09-16	03:32	9.50	043	16:22	9.80	046	10:26	4.90	23:21	4.30
2021-09-17	05:09	9.95	052	17:44	10.55	058	12:05	4.25	--:--	--.--
2021-09-18	06:19	10.85	066	18:43	11.50	072	00:44	3.40	13:17	3.30
2021-09-19	07:10	11.70	079	19:29	12.30	084	01:46	2.50	14:12	2.40
2021-09-20	07:52	12.35	088	20:10	12.85	091	02:36	1.80	14:58	1.80
2021-09-21	08:30	12.70	093	20:46	13.10	094	03:19	1.40	15:38	1.50
2021-09-22	09:03	12.85	094	21:19	13.10	094	03:56	1.30	16:12	1.50
2021-09-23	09:34	12.80	092	21:49	12.90	090	04:28	1.40	16:42	1.65
2021-09-24	10:02	12.55	086	22:17	12.45	082	04:55	1.70	17:08	2.05
2021-09-25	10:28	12.15	078	22:43	11.85	072	05:19	2.20	17:30	2.60
2021-09-26	10:52	11.55	067	23:06	11.10	061	05:39	2.85	17:49	3.30
2021-09-27	11:15	10.85	054	23:30	10.30	048	05:57	3.60	18:07	4.00
2021-09-28	11:41	10.10	041	23:59	9.40	035	06:17	4.40	18:32	4.75
2021-09-29	12:17	9.25	030	--:--	--.--	---	06:50	5.15	19:22	5.45
2021-09-30	00:58	8.55	026	14:07	8.50	024	07:59	5.85	21:03	5.85
