Site : Granville Le Cocaleu (Manche)
latitude : 48.834167 - longitude : -1.644333
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	01:13	10.00	045	13:37	9.70	040	08:06	4.30	20:27	4.80
2021-08-02	02:08	9.40	036	14:42	9.25	034	08:57	4.80	21:33	5.15
2021-08-03	03:26	9.05	033	16:02	9.20	035	10:06	5.00	22:52	5.05
2021-08-04	04:44	9.15	037	17:14	9.55	041	11:23	4.85	--:--	--.--
2021-08-05	05:49	9.65	045	18:13	10.20	050	00:07	4.60	12:33	4.35
2021-08-06	06:43	10.25	055	19:01	10.85	060	01:09	3.95	13:31	3.75
2021-08-07	07:29	10.90	064	19:44	11.45	069	02:01	3.30	14:21	3.20
2021-08-08	08:11	11.45	073	20:25	11.95	077	02:48	2.75	15:07	2.70
2021-08-09	08:51	11.90	081	21:03	12.35	084	03:33	2.30	15:50	2.25
2021-08-10	09:29	12.20	086	21:41	12.65	088	04:15	1.90	16:30	1.95
2021-08-11	10:06	12.40	089	22:19	12.80	089	04:55	1.70	17:08	1.80
2021-08-12	10:43	12.40	088	22:56	12.65	086	05:33	1.65	17:45	1.85
2021-08-13	11:20	12.15	084	23:34	12.30	080	06:09	1.85	18:21	2.20
2021-08-14	11:58	11.70	076	--:--	--.--	---	06:44	2.35	18:57	2.80
2021-08-15	00:14	11.70	071	12:40	11.10	066	07:21	2.95	19:40	3.45
2021-08-16	01:02	10.95	060	13:34	10.50	055	08:06	3.65	20:36	4.05
2021-08-17	02:06	10.30	051	14:49	10.00	049	09:09	4.20	21:55	4.30
2021-08-18	03:33	9.90	048	16:23	10.05	050	10:34	4.40	23:23	4.05
2021-08-19	05:05	10.15	054	17:46	10.65	060	12:03	4.00	--:--	--.--
2021-08-20	06:21	10.80	066	18:51	11.45	072	00:45	3.35	13:20	3.30
2021-08-21	07:21	11.55	078	19:43	12.25	083	01:53	2.55	14:23	2.50
2021-08-22	08:10	12.20	088	20:28	12.75	091	02:51	1.85	15:15	1.95
2021-08-23	08:52	12.60	093	21:09	13.05	094	03:40	1.40	16:00	1.60
2021-08-24	09:30	12.75	095	21:46	13.10	094	04:22	1.25	16:38	1.50
2021-08-25	10:05	12.70	092	22:20	12.85	089	04:58	1.30	17:11	1.65
2021-08-26	10:36	12.40	085	22:51	12.40	081	05:29	1.60	17:40	2.05
2021-08-27	11:06	11.90	076	23:19	11.75	071	05:56	2.15	18:05	2.65
2021-08-28	11:33	11.30	065	23:47	11.00	059	06:19	2.85	18:27	3.35
2021-08-29	12:00	10.60	052	--:--	--.--	---	06:41	3.60	18:49	4.10
2021-08-30	00:15	10.15	046	12:31	9.85	040	07:07	4.35	19:22	4.85
2021-08-31	00:54	9.30	034	13:23	9.10	030	07:48	5.05	20:22	5.45
