Site : Entrée Baie de Somme (Somme)
latitude : 50.235233 - longitude : 1.472300
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	07:07	7.00	027	19:55	7.00	027	01:23	3.65	13:58	3.85
2021-09-02	08:55	7.00	029	21:30	7.25	034	02:50	3.80	15:39	3.75
2021-09-03	10:09	7.55	039	22:33	7.85	046	04:28	3.45	17:01	3.20
2021-09-04	11:03	8.20	053	23:22	8.50	060	05:34	2.85	17:58	2.60
2021-09-05	11:47	8.80	067	--:--	--.--	---	06:26	2.25	18:47	2.10
2021-09-06	00:04	9.05	073	12:28	9.30	079	07:14	1.80	19:33	1.70
2021-09-07	00:44	9.50	085	13:07	9.65	090	07:58	1.40	20:16	1.40
2021-09-08	01:23	9.80	094	13:44	9.90	097	08:40	1.15	20:57	1.15
2021-09-09	02:01	10.00	100	14:23	10.00	101	09:19	1.05	21:35	1.10
2021-09-10	02:40	10.05	100	15:00	10.00	099	09:55	1.05	22:11	1.15
2021-09-11	03:17	9.90	096	15:37	9.80	092	10:30	1.25	22:47	1.40
2021-09-12	03:56	9.60	087	16:15	9.45	081	11:05	1.60	23:24	1.75
2021-09-13	04:37	9.15	073	16:59	8.95	066	11:43	2.10	--:--	--.--
2021-09-14	05:26	8.50	058	17:56	8.35	051	00:08	2.25	12:31	2.65
2021-09-15	06:37	7.90	045	19:23	7.85	042	01:06	2.75	13:39	3.15
2021-09-16	08:17	7.70	043	21:02	7.95	046	02:30	3.05	15:18	3.20
2021-09-17	09:46	8.10	052	22:20	8.50	058	04:06	2.80	16:48	2.75
2021-09-18	10:54	8.70	066	23:19	9.10	072	05:26	2.30	17:59	2.15
2021-09-19	11:46	9.30	079	--:--	--.--	---	06:30	1.80	18:56	1.70
2021-09-20	00:07	9.55	084	12:29	9.70	088	07:21	1.45	19:42	1.45
2021-09-21	00:48	9.85	091	13:07	9.85	093	08:02	1.30	20:20	1.35
2021-09-22	01:24	9.90	094	13:41	9.90	094	08:36	1.30	20:52	1.35
2021-09-23	01:57	9.85	094	14:12	9.85	092	09:06	1.35	21:21	1.45
2021-09-24	02:27	9.70	090	14:41	9.65	086	09:33	1.50	21:47	1.70
2021-09-25	02:57	9.45	082	15:09	9.35	078	09:57	1.75	22:10	1.95
2021-09-26	03:25	9.10	072	15:35	9.00	067	10:18	2.15	22:32	2.35
2021-09-27	03:51	8.65	061	16:02	8.50	054	10:42	2.55	23:00	2.75
2021-09-28	04:21	8.10	048	16:36	7.95	041	11:14	3.05	23:38	3.25
2021-09-29	05:03	7.50	035	17:27	7.30	030	11:59	3.55	--:--	--.--
2021-09-30	06:09	6.95	026	18:55	6.85	024	00:32	3.75	13:05	4.00
