Site : Le Palais (Belle-Ile) (Morbihan)
latitude : 47.349998 - longitude : -3.150000
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	00:39	3.60	027	13:38	3.70	027	06:40	2.35	19:37	2.30
2021-09-02	02:16	3.70	029	14:47	3.90	034	08:04	2.25	20:50	2.05
2021-09-03	03:15	3.95	039	15:33	4.20	046	09:11	2.00	21:43	1.75
2021-09-04	03:58	4.20	053	16:11	4.50	060	09:59	1.70	22:25	1.40
2021-09-05	04:35	4.50	067	16:45	4.80	073	10:38	1.35	23:03	1.10
2021-09-06	05:10	4.75	079	17:19	5.05	085	11:15	1.05	23:40	0.80
2021-09-07	05:43	5.00	090	17:53	5.25	094	11:51	0.80	--:--	--.--
2021-09-08	06:18	5.15	097	18:27	5.35	100	00:16	0.60	12:28	0.65
2021-09-09	06:52	5.20	101	19:03	5.35	100	00:53	0.50	13:05	0.60
2021-09-10	07:28	5.15	099	19:40	5.20	096	01:31	0.55	13:45	0.65
2021-09-11	08:05	5.00	092	20:19	4.95	087	02:12	0.70	14:28	0.80
2021-09-12	08:46	4.75	081	21:05	4.60	073	02:56	0.95	15:16	1.10
2021-09-13	09:38	4.40	066	22:09	4.20	058	03:46	1.30	16:11	1.45
2021-09-14	11:01	4.15	051	--:--	--.--	---	04:45	1.70	17:20	1.75
2021-09-15	00:05	3.95	045	12:55	4.05	042	06:00	1.95	18:45	1.90
2021-09-16	01:56	3.95	043	14:24	4.25	046	07:29	1.95	20:13	1.70
2021-09-17	03:10	4.20	052	15:26	4.55	058	08:48	1.75	21:22	1.40
2021-09-18	04:02	4.50	066	16:12	4.85	072	09:48	1.40	22:14	1.10
2021-09-19	04:42	4.70	079	16:50	5.05	084	10:36	1.10	22:58	0.85
2021-09-20	05:15	4.90	088	17:22	5.20	091	11:18	0.85	23:38	0.70
2021-09-21	05:43	5.00	093	17:52	5.30	094	11:56	0.75	--:--	--.--
2021-09-22	06:09	5.05	094	18:20	5.25	094	00:15	0.65	12:31	0.75
2021-09-23	06:35	5.00	092	18:49	5.15	090	00:49	0.75	13:05	0.85
2021-09-24	07:02	4.90	086	19:18	4.95	082	01:21	0.90	13:38	1.05
2021-09-25	07:30	4.75	078	19:47	4.70	072	01:54	1.15	14:11	1.30
2021-09-26	07:59	4.50	067	20:18	4.40	061	02:26	1.40	14:46	1.55
2021-09-27	08:30	4.25	054	20:54	4.05	048	03:01	1.70	15:25	1.85
2021-09-28	09:09	4.00	041	21:44	3.75	035	03:41	2.00	16:13	2.15
2021-09-29	10:16	3.75	030	23:47	3.55	026	04:34	2.30	17:20	2.35
2021-09-30	12:46	3.65	024	--:--	--.--	---	05:47	2.45	18:52	2.40
