Site : Paimpol (Côtes-d'Armor)
latitude : 48.791668 - longitude : -2.945833
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	01:57	7.45	027	14:49	7.55	027	08:29	4.80	21:30	4.85
2021-09-02	03:55	7.45	029	16:31	7.85	034	10:16	4.75	23:06	4.40
2021-09-03	05:14	8.00	039	17:35	8.50	046	11:35	4.15	--:--	--.--
2021-09-04	06:09	8.70	053	18:25	9.25	060	00:08	3.65	12:29	3.45
2021-09-05	06:54	9.40	067	19:09	9.90	073	00:56	2.90	13:15	2.75
2021-09-06	07:37	10.00	079	19:51	10.50	085	01:40	2.25	13:58	2.15
2021-09-07	08:18	10.45	090	20:31	10.90	094	02:22	1.70	14:40	1.65
2021-09-08	08:57	10.80	097	21:10	11.20	100	03:04	1.30	15:20	1.35
2021-09-09	09:35	10.95	101	21:48	11.25	100	03:43	1.10	15:59	1.20
2021-09-10	10:12	10.90	099	22:25	11.10	096	04:21	1.10	16:37	1.30
2021-09-11	10:47	10.65	092	23:02	10.65	087	04:58	1.40	17:14	1.70
2021-09-12	11:24	10.20	081	23:40	10.00	073	05:34	1.90	17:52	2.30
2021-09-13	12:04	9.55	066	--:--	--.--	---	06:13	2.65	18:37	3.05
2021-09-14	00:27	9.20	058	12:56	8.85	051	07:01	3.45	19:36	3.70
2021-09-15	01:34	8.45	045	14:19	8.30	042	08:10	4.10	21:05	4.10
2021-09-16	03:18	8.10	043	16:07	8.40	046	09:52	4.30	22:45	3.80
2021-09-17	04:56	8.55	052	17:28	9.05	058	11:24	3.75	--:--	--.--
2021-09-18	06:05	9.25	066	18:27	9.85	072	00:00	3.05	12:30	2.95
2021-09-19	06:57	9.95	079	19:16	10.45	084	00:57	2.30	13:22	2.25
2021-09-20	07:41	10.45	088	19:57	10.85	091	01:45	1.75	14:06	1.80
2021-09-21	08:19	10.70	093	20:34	11.00	094	02:26	1.45	14:44	1.55
2021-09-22	08:53	10.80	094	21:07	11.00	094	03:02	1.30	15:18	1.50
2021-09-23	09:23	10.75	092	21:37	10.80	090	03:34	1.35	15:49	1.60
2021-09-24	09:51	10.55	086	22:05	10.45	082	04:03	1.55	16:17	1.85
2021-09-25	10:16	10.25	078	22:30	10.00	072	04:29	1.95	16:42	2.30
2021-09-26	10:40	9.80	067	22:54	9.40	061	04:53	2.45	17:05	2.80
2021-09-27	11:04	9.25	054	23:18	8.75	048	05:17	3.10	17:29	3.45
2021-09-28	11:30	8.60	041	23:49	8.10	035	05:39	3.75	17:59	4.10
2021-09-29	12:09	7.95	030	--:--	--.--	---	06:17	4.45	18:47	4.70
2021-09-30	00:46	7.45	026	13:32	7.45	024	07:19	5.00	20:20	5.05
