Site : Entrée Baie de Somme (Somme)
latitude : 50.235233 - longitude : 1.472300
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	05:17	8.55	060	17:42	8.45	055	00:03	2.20	12:24	2.25
2021-07-02	06:07	8.15	051	18:34	8.10	047	00:48	2.50	13:10	2.60
2021-07-03	07:04	7.85	044	19:32	7.85	043	01:38	2.75	14:02	2.80
2021-07-04	08:07	7.70	042	20:36	7.80	042	02:34	2.90	15:01	2.90
2021-07-05	09:11	7.75	043	21:38	7.95	046	03:35	2.95	16:03	2.85
2021-07-06	10:10	7.95	048	22:32	8.20	051	04:37	2.80	17:03	2.70
2021-07-07	11:01	8.20	054	23:20	8.45	057	05:34	2.55	17:57	2.50
2021-07-08	11:47	8.50	060	--:--	--.--	---	06:25	2.30	18:45	2.30
2021-07-09	00:03	8.70	063	12:28	8.75	066	07:11	2.10	19:29	2.10
2021-07-10	00:43	8.90	068	13:07	8.95	071	07:53	1.95	20:09	2.00
2021-07-11	01:21	9.05	072	13:45	9.10	074	08:32	1.80	20:48	1.85
2021-07-12	01:59	9.15	075	14:23	9.20	076	09:11	1.70	21:26	1.80
2021-07-13	02:37	9.20	076	15:01	9.20	076	09:49	1.65	22:04	1.80
2021-07-14	03:16	9.15	076	15:40	9.10	075	10:27	1.70	22:43	1.85
2021-07-15	03:56	9.05	073	16:20	8.95	071	11:06	1.80	23:23	2.00
2021-07-16	04:37	8.85	068	17:03	8.75	066	11:46	1.95	--:--	--.--
2021-07-17	05:23	8.65	063	17:51	8.55	060	00:06	2.15	12:31	2.15
2021-07-18	06:17	8.45	058	18:50	8.40	056	00:56	2.30	13:24	2.35
2021-07-19	07:23	8.30	055	20:02	8.35	055	01:56	2.45	14:30	2.50
2021-07-20	08:39	8.30	057	21:16	8.55	059	03:10	2.40	15:47	2.45
2021-07-21	09:52	8.55	063	22:24	8.85	067	04:26	2.20	17:01	2.20
2021-07-22	10:59	8.90	072	23:27	9.20	077	05:35	1.85	18:06	1.90
2021-07-23	12:00	9.25	081	--:--	--.--	---	06:38	1.55	19:06	1.60
2021-07-24	00:25	9.50	085	12:54	9.50	088	07:37	1.30	20:03	1.40
2021-07-25	01:16	9.70	091	13:43	9.70	092	08:31	1.15	20:54	1.30
2021-07-26	02:03	9.80	093	14:27	9.75	092	09:19	1.10	21:39	1.25
2021-07-27	02:46	9.75	091	15:08	9.65	089	10:01	1.20	22:19	1.40
2021-07-28	03:26	9.55	085	15:46	9.45	081	10:39	1.40	22:56	1.65
2021-07-29	04:03	9.25	077	16:23	9.10	072	11:12	1.75	23:29	2.00
2021-07-30	04:42	8.85	066	16:59	8.70	061	11:43	2.10	--:--	--.--
2021-07-31	05:19	8.40	055	17:38	8.25	050	00:00	2.40	12:16	2.50
