Site : Saint-Martin de Ré (Charente-Maritime)
latitude : 46.208000 - longitude : -1.365500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	01:03	4.50	027	13:56	4.60	027	06:24	3.00	19:24	2.95
2021-09-02	02:21	4.60	029	14:55	4.80	034	07:50	2.90	20:42	2.70
2021-09-03	03:18	4.85	039	15:41	5.10	046	09:04	2.60	21:39	2.30
2021-09-04	04:03	5.10	053	16:18	5.40	060	09:55	2.20	22:24	1.85
2021-09-05	04:41	5.40	067	16:52	5.70	073	10:37	1.75	23:05	1.40
2021-09-06	05:15	5.65	079	17:25	5.95	085	11:17	1.35	23:44	1.05
2021-09-07	05:48	5.90	090	17:58	6.15	094	11:56	1.05	--:--	--.--
2021-09-08	06:21	6.05	097	18:31	6.30	100	00:22	0.80	12:34	0.85
2021-09-09	06:55	6.15	101	19:07	6.30	100	01:00	0.70	13:13	0.75
2021-09-10	07:30	6.05	099	19:44	6.10	096	01:39	0.75	13:53	0.85
2021-09-11	08:09	5.85	092	20:26	5.80	087	02:18	0.95	14:34	1.05
2021-09-12	08:52	5.55	081	21:15	5.40	073	03:01	1.25	15:20	1.40
2021-09-13	09:51	5.20	066	22:40	5.00	058	03:48	1.70	16:12	1.80
2021-09-14	11:45	4.95	051	--:--	--.--	---	04:43	2.15	17:16	2.20
2021-09-15	00:49	4.85	045	13:26	5.00	042	05:53	2.45	18:34	2.40
2021-09-16	02:13	4.95	043	14:36	5.25	046	07:18	2.55	20:03	2.25
2021-09-17	03:18	5.20	052	15:33	5.55	058	08:41	2.25	21:17	1.85
2021-09-18	04:10	5.45	066	16:19	5.80	072	09:45	1.80	22:13	1.45
2021-09-19	04:51	5.65	079	16:57	6.05	084	10:37	1.35	23:01	1.10
2021-09-20	05:24	5.80	088	17:29	6.15	091	11:22	1.05	23:44	0.90
2021-09-21	05:51	5.90	093	17:57	6.20	094	12:02	0.90	--:--	--.--
2021-09-22	06:15	5.90	094	18:22	6.20	094	00:23	0.85	12:39	0.90
2021-09-23	06:36	5.90	092	18:48	6.05	090	00:57	0.95	13:14	1.05
2021-09-24	06:59	5.80	086	19:16	5.90	082	01:30	1.15	13:47	1.30
2021-09-25	07:25	5.65	078	19:46	5.60	072	02:02	1.45	14:19	1.60
2021-09-26	07:53	5.40	067	20:17	5.25	061	02:33	1.80	14:53	1.95
2021-09-27	08:21	5.10	054	20:52	4.90	048	03:06	2.15	15:28	2.35
2021-09-28	08:53	4.80	041	21:48	4.55	035	03:43	2.50	16:11	2.70
2021-09-29	09:56	4.50	030	--:--	--.--	---	04:28	2.85	17:09	3.00
2021-09-30	00:35	4.40	026	13:16	4.50	024	05:33	3.05	18:39	3.05
