Site : Miquelon (Saint-Pierre_et_Miquelon)
latitude : 47.103832 - longitude : -56.373833
Système horaire : HEURES LOCALES -03h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	01:59	2.10	000	14:29	1.85	000	07:46	0.80	20:10	0.80
2021-06-02	02:53	2.00	000	15:28	1.85	000	08:46	0.90	21:18	0.85
2021-06-03	03:49	1.90	000	16:27	1.85	000	09:51	0.90	22:27	0.90
2021-06-04	04:47	1.85	000	17:26	1.85	000	10:52	0.90	23:29	0.90
2021-06-05	05:44	1.80	000	18:20	1.90	000	11:46	0.85	--:--	--.--
2021-06-06	06:38	1.80	000	19:09	1.95	000	00:24	0.85	12:35	0.85
2021-06-07	07:26	1.80	000	19:53	2.00	000	01:13	0.80	13:19	0.80
2021-06-08	08:09	1.85	000	20:33	2.05	000	01:58	0.75	13:59	0.75
2021-06-09	08:48	1.85	000	21:12	2.10	000	02:39	0.75	14:36	0.70
2021-06-10	09:24	1.85	000	21:49	2.10	000	03:17	0.75	15:11	0.70
2021-06-11	10:00	1.90	000	22:26	2.10	000	03:52	0.75	15:45	0.70
2021-06-12	10:36	1.90	000	23:04	2.10	000	04:26	0.75	16:21	0.70
2021-06-13	11:13	1.90	000	23:42	2.10	000	05:01	0.75	16:59	0.75
2021-06-14	11:53	1.90	000	--:--	--.--	---	05:38	0.75	17:41	0.75
2021-06-15	00:22	2.05	000	12:36	1.90	000	06:19	0.80	18:27	0.80
2021-06-16	01:06	2.00	000	13:25	1.90	000	07:03	0.80	19:20	0.85
2021-06-17	01:53	1.95	000	14:19	1.90	000	07:54	0.80	20:21	0.85
2021-06-18	02:46	1.90	000	15:18	1.90	000	08:51	0.80	21:29	0.85
2021-06-19	03:45	1.90	000	16:22	1.95	000	09:54	0.80	22:37	0.80
2021-06-20	04:48	1.90	000	17:25	2.00	000	10:57	0.75	23:41	0.75
2021-06-21	05:53	1.90	000	18:26	2.10	000	11:58	0.65	--:--	--.--
2021-06-22	06:54	1.95	000	19:24	2.20	000	00:43	0.70	12:55	0.55
2021-06-23	07:52	2.00	000	20:20	2.30	000	01:42	0.60	13:51	0.50
2021-06-24	08:48	2.05	000	21:15	2.35	000	02:38	0.55	14:44	0.45
2021-06-25	09:42	2.10	000	22:09	2.35	000	03:29	0.50	15:35	0.45
2021-06-26	10:34	2.10	000	23:02	2.35	000	04:17	0.55	16:23	0.45
2021-06-27	11:25	2.10	000	23:53	2.30	000	05:02	0.55	17:10	0.50
2021-06-28	12:16	2.05	000	--:--	--.--	---	05:44	0.65	17:56	0.60
2021-06-29	00:43	2.20	000	13:05	2.00	000	06:25	0.70	18:44	0.70
2021-06-30	01:30	2.10	000	13:55	1.95	000	07:08	0.80	19:36	0.80
