Site : Papeete [Polynesie francaise] (Polynésie_française)
latitude : -17.533333 - longitude : -149.566666
Système horaire : HEURES LOCALES -10h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	10:48	0.50	000	23:46	0.50	000	06:29	0.45	15:12	0.45
2021-08-02	10:47	0.50	000	23:29	0.55	000	05:45	0.45	16:33	0.45
2021-08-03	11:04	0.55	000	23:43	0.55	000	05:33	0.45	17:10	0.40
2021-08-04	11:25	0.55	000	--:--	--.--	---	05:37	0.40	17:40	0.40
2021-08-05	00:02	0.55	000	11:48	0.55	000	05:50	0.40	18:07	0.40
2021-08-06	00:22	0.60	000	12:13	0.60	000	06:07	0.40	18:34	0.35
2021-08-07	00:42	0.60	000	12:38	0.60	000	06:26	0.40	19:00	0.35
2021-08-08	01:02	0.60	000	13:03	0.60	000	06:46	0.35	19:25	0.40
2021-08-09	01:20	0.60	000	13:28	0.60	000	07:05	0.35	19:49	0.40
2021-08-10	01:37	0.60	000	13:52	0.60	000	07:25	0.35	20:11	0.40
2021-08-11	01:52	0.60	000	14:17	0.65	000	07:46	0.35	20:32	0.40
2021-08-12	02:06	0.60	000	14:43	0.60	000	08:10	0.40	20:52	0.45
2021-08-13	02:20	0.60	000	15:10	0.60	000	08:36	0.40	21:09	0.45
2021-08-14	02:30	0.55	000	15:39	0.55	000	09:05	0.40	21:20	0.50
2021-08-15	02:27	0.55	000	16:10	0.55	000	09:39	0.45	21:02	0.50
2021-08-16	01:32	0.55	000	--:--	--.--	---	11:08	0.45	--:--	--.--
2021-08-17	00:14	0.55	000	23:50	0.55	000	16:51	0.45	--:--	--.--
2021-08-18	10:49	0.55	000	23:56	0.55	000	05:21	0.45	17:22	0.40
2021-08-19	11:21	0.60	000	--:--	--.--	---	05:35	0.40	17:49	0.40
2021-08-20	00:10	0.60	000	11:51	0.60	000	05:54	0.40	18:15	0.35
2021-08-21	00:28	0.60	000	12:21	0.65	000	06:15	0.35	18:40	0.35
2021-08-22	00:45	0.60	000	12:50	0.65	000	06:37	0.35	19:04	0.35
2021-08-23	01:03	0.60	000	13:18	0.65	000	06:58	0.35	19:27	0.35
2021-08-24	01:20	0.60	000	13:44	0.65	000	07:19	0.35	19:49	0.40
2021-08-25	01:35	0.60	000	14:09	0.65	000	07:39	0.35	20:10	0.40
2021-08-26	01:45	0.60	000	14:32	0.60	000	07:56	0.35	20:27	0.40
2021-08-27	01:57	0.60	000	14:50	0.60	000	08:11	0.40	20:40	0.45
2021-08-28	02:01	0.55	000	15:00	0.55	000	08:21	0.40	20:47	0.45
2021-08-29	01:58	0.55	000	14:48	0.50	000	08:17	0.45	20:35	0.45
2021-08-30	01:37	0.55	000	12:58	0.50	000	07:20	0.45	18:12	0.45
2021-08-31	00:48	0.50	000	23:59	0.55	000	17:17	0.45	--:--	--.--
