Site : Saint-Martin de Ré (Charente-Maritime)
latitude : 46.208000 - longitude : -1.365500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	11:10	4.75	058	23:22	5.05	053	04:04	1.65	16:33	2.10
2021-06-02	12:37	4.70	049	--:--	--.--	---	05:04	1.95	17:36	2.30
2021-06-03	00:35	4.95	047	13:44	4.75	045	06:08	2.15	18:42	2.35
2021-06-04	01:41	4.95	046	14:37	4.85	047	07:15	2.25	19:47	2.25
2021-06-05	02:36	5.00	049	15:18	5.00	052	08:17	2.15	20:44	2.15
2021-06-06	03:19	5.10	054	15:48	5.10	057	09:10	2.05	21:35	2.00
2021-06-07	03:53	5.20	060	16:13	5.25	063	09:55	1.90	22:18	1.90
2021-06-08	04:25	5.30	065	16:38	5.40	068	10:35	1.80	22:57	1.80
2021-06-09	04:56	5.40	069	17:06	5.50	071	11:10	1.75	23:33	1.70
2021-06-10	05:28	5.45	072	17:35	5.55	073	11:43	1.70	--:--	--.--
2021-06-11	06:01	5.45	073	18:06	5.55	073	00:08	1.65	12:17	1.70
2021-06-12	06:34	5.40	073	18:37	5.50	072	00:44	1.65	12:52	1.70
2021-06-13	07:07	5.35	071	19:10	5.45	069	01:20	1.65	13:28	1.75
2021-06-14	07:44	5.20	067	19:51	5.35	065	01:57	1.70	14:06	1.85
2021-06-15	08:28	5.10	063	20:40	5.20	060	02:36	1.80	14:48	2.00
2021-06-16	09:24	4.95	058	21:42	5.10	055	03:19	1.90	15:34	2.10
2021-06-17	10:36	4.85	053	22:56	5.05	052	04:07	2.00	16:26	2.20
2021-06-18	11:54	4.90	051	--:--	--.--	---	05:03	2.10	17:27	2.25
2021-06-19	00:12	5.05	051	13:05	5.00	053	06:06	2.10	18:33	2.15
2021-06-20	01:24	5.20	056	14:07	5.25	059	07:14	2.00	19:39	1.95
2021-06-21	02:29	5.35	063	15:02	5.50	068	08:18	1.75	20:41	1.65
2021-06-22	03:28	5.60	073	15:52	5.75	078	09:17	1.45	21:41	1.35
2021-06-23	04:21	5.75	082	16:41	5.95	086	10:12	1.20	22:37	1.05
2021-06-24	05:11	5.90	090	17:28	6.10	092	11:05	1.05	23:32	0.85
2021-06-25	06:00	5.90	094	18:15	6.10	095	11:56	0.95	--:--	--.--
2021-06-26	06:47	5.85	094	19:03	6.05	093	00:24	0.75	12:46	0.95
2021-06-27	07:34	5.65	091	19:51	5.90	088	01:14	0.80	13:34	1.10
2021-06-28	08:20	5.45	084	20:37	5.70	080	02:03	0.90	14:23	1.30
2021-06-29	09:04	5.15	075	21:23	5.45	070	02:52	1.15	15:13	1.55
2021-06-30	09:49	4.90	065	22:10	5.20	060	03:40	1.45	16:04	1.85
