Site : Miquelon (Saint-Pierre_et_Miquelon)
latitude : 47.103832 - longitude : -56.373833
Système horaire : HEURES LOCALES -03h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	02:17	1.95	000	14:47	1.90	000	07:54	0.85	20:34	0.85
2021-07-02	03:05	1.85	000	15:41	1.85	000	08:46	0.90	21:37	0.90
2021-07-03	03:56	1.80	000	16:38	1.85	000	09:47	0.95	22:41	0.95
2021-07-04	04:51	1.75	000	17:35	1.85	000	10:53	0.95	23:42	0.95
2021-07-05	05:49	1.75	000	18:29	1.90	000	11:53	0.90	--:--	--.--
2021-07-06	06:45	1.75	000	19:19	1.95	000	00:37	0.90	12:46	0.85
2021-07-07	07:35	1.80	000	20:05	2.00	000	01:29	0.90	13:31	0.80
2021-07-08	08:19	1.80	000	20:47	2.05	000	02:15	0.85	14:12	0.75
2021-07-09	08:59	1.85	000	21:26	2.10	000	02:55	0.80	14:48	0.75
2021-07-10	09:37	1.90	000	22:05	2.15	000	03:32	0.80	15:24	0.70
2021-07-11	10:14	1.95	000	22:43	2.15	000	04:07	0.75	16:02	0.65
2021-07-12	10:52	2.00	000	23:22	2.15	000	04:42	0.70	16:42	0.65
2021-07-13	11:32	2.00	000	--:--	--.--	---	05:19	0.70	17:25	0.70
2021-07-14	00:03	2.10	000	12:15	2.00	000	05:58	0.70	18:11	0.75
2021-07-15	00:45	2.10	000	13:01	2.00	000	06:39	0.70	19:01	0.75
2021-07-16	01:31	2.05	000	13:52	2.00	000	07:24	0.75	19:56	0.80
2021-07-17	02:21	1.95	000	14:50	2.00	000	08:14	0.75	20:57	0.85
2021-07-18	03:17	1.90	000	15:54	2.00	000	09:14	0.80	22:05	0.85
2021-07-19	04:21	1.90	000	17:01	2.05	000	10:23	0.80	23:16	0.85
2021-07-20	05:29	1.90	000	18:06	2.10	000	11:34	0.75	--:--	--.--
2021-07-21	06:36	1.90	000	19:09	2.20	000	00:25	0.80	12:40	0.65
2021-07-22	07:39	2.00	000	20:07	2.25	000	01:29	0.75	13:40	0.60
2021-07-23	08:36	2.05	000	21:02	2.30	000	02:26	0.65	14:33	0.50
2021-07-24	09:28	2.10	000	21:54	2.35	000	03:16	0.60	15:21	0.50
2021-07-25	10:16	2.15	000	22:43	2.30	000	04:00	0.60	16:06	0.50
2021-07-26	11:03	2.15	000	23:30	2.25	000	04:40	0.60	16:49	0.55
2021-07-27	11:47	2.10	000	--:--	--.--	---	05:16	0.65	17:31	0.60
2021-07-28	00:14	2.15	000	12:31	2.05	000	05:52	0.70	18:13	0.70
2021-07-29	00:56	2.05	000	13:14	2.00	000	06:28	0.75	18:58	0.80
2021-07-30	01:37	1.95	000	14:00	1.90	000	07:07	0.85	19:47	0.90
2021-07-31	02:19	1.85	000	14:50	1.85	000	07:50	0.90	20:43	0.95
