Site : Paimpol (Côtes-d'Armor)
latitude : 48.791668 - longitude : -2.945833
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	00:59	8.55	045	13:23	8.30	040	07:30	3.70	19:55	4.15
2021-08-02	01:53	8.05	036	14:27	7.95	034	08:25	4.15	21:04	4.40
2021-08-03	03:10	7.80	033	15:50	7.95	035	09:38	4.30	22:25	4.35
2021-08-04	04:32	7.90	037	17:03	8.30	041	10:55	4.15	23:34	3.95
2021-08-05	05:37	8.35	045	17:59	8.80	050	11:58	3.75	--:--	--.--
2021-08-06	06:29	8.85	055	18:46	9.35	060	00:29	3.40	12:49	3.25
2021-08-07	07:14	9.35	064	19:28	9.80	069	01:16	2.90	13:34	2.80
2021-08-08	07:56	9.75	073	20:09	10.20	077	01:59	2.40	14:17	2.40
2021-08-09	08:37	10.05	081	20:48	10.50	084	02:40	2.05	14:57	2.05
2021-08-10	09:16	10.30	086	21:27	10.70	088	03:21	1.75	15:37	1.80
2021-08-11	09:54	10.40	089	22:05	10.75	089	04:01	1.55	16:16	1.70
2021-08-12	10:31	10.40	088	22:43	10.65	086	04:40	1.55	16:55	1.75
2021-08-13	11:09	10.20	084	23:21	10.30	080	05:18	1.70	17:33	2.05
2021-08-14	11:47	9.80	076	--:--	--.--	---	05:57	2.05	18:13	2.45
2021-08-15	00:02	9.85	071	12:29	9.35	066	06:38	2.60	19:00	3.00
2021-08-16	00:50	9.25	060	13:22	8.85	055	07:27	3.15	19:59	3.50
2021-08-17	01:54	8.70	051	14:37	8.50	049	08:32	3.65	21:17	3.75
2021-08-18	03:21	8.45	048	16:10	8.60	050	09:57	3.80	22:46	3.50
2021-08-19	04:52	8.70	054	17:31	9.10	060	11:24	3.45	--:--	--.--
2021-08-20	06:07	9.25	066	18:35	9.80	072	00:03	2.90	12:35	2.85
2021-08-21	07:07	9.85	078	19:29	10.35	083	01:06	2.25	13:33	2.25
2021-08-22	07:57	10.30	088	20:15	10.80	091	01:59	1.70	14:22	1.80
2021-08-23	08:41	10.60	093	20:57	11.00	094	02:46	1.35	15:06	1.55
2021-08-24	09:20	10.70	095	21:34	11.00	094	03:28	1.20	15:44	1.50
2021-08-25	09:54	10.65	092	22:08	10.80	089	04:04	1.25	16:19	1.60
2021-08-26	10:25	10.40	085	22:39	10.45	081	04:37	1.50	16:50	1.85
2021-08-27	10:54	10.05	076	23:07	9.90	071	05:06	1.90	17:18	2.35
2021-08-28	11:20	9.55	065	23:34	9.30	059	05:33	2.45	17:45	2.90
2021-08-29	11:48	9.00	052	--:--	--.--	---	06:00	3.05	18:13	3.55
2021-08-30	00:04	8.65	046	12:21	8.45	040	06:31	3.70	18:49	4.15
2021-08-31	00:43	8.00	034	13:11	7.85	030	07:14	4.35	19:47	4.70
