Site : Papeete [Polynesie francaise] (Polynésie_française)
latitude : -17.533333 - longitude : -149.566666
Système horaire : HEURES LOCALES -10h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	01:53	0.50	000	18:20	0.55	000	10:02	0.50	--:--	--.--
2021-06-02	09:14	0.50	000	20:21	0.55	000	05:00	0.50	13:45	0.50
2021-06-03	09:48	0.55	000	21:42	0.60	000	04:50	0.45	15:05	0.45
2021-06-04	10:17	0.55	000	22:28	0.60	000	04:57	0.45	15:53	0.45
2021-06-05	10:44	0.55	000	23:02	0.60	000	05:08	0.45	16:29	0.45
2021-06-06	11:08	0.60	000	23:30	0.60	000	05:21	0.45	17:01	0.45
2021-06-07	11:31	0.60	000	23:56	0.60	000	05:35	0.40	17:30	0.40
2021-06-08	11:52	0.60	000	--:--	--.--	---	05:49	0.40	17:57	0.40
2021-06-09	00:19	0.60	000	12:11	0.60	000	06:04	0.40	18:23	0.40
2021-06-10	00:41	0.60	000	12:28	0.60	000	06:20	0.40	18:48	0.40
2021-06-11	01:00	0.60	000	12:46	0.60	000	06:38	0.40	19:13	0.40
2021-06-12	01:18	0.60	000	13:05	0.60	000	06:58	0.40	19:38	0.40
2021-06-13	01:33	0.55	000	13:30	0.55	000	07:20	0.40	20:07	0.40
2021-06-14	01:47	0.55	000	14:04	0.55	000	07:45	0.40	20:38	0.45
2021-06-15	02:00	0.55	000	14:50	0.55	000	08:15	0.45	21:17	0.45
2021-06-16	02:07	0.55	000	16:16	0.55	000	08:56	0.45	22:17	0.50
2021-06-17	01:45	0.50	000	18:56	0.55	000	10:45	0.50	--:--	--.--
2021-06-18	08:48	0.50	000	21:05	0.55	000	04:54	0.50	13:06	0.50
2021-06-19	09:28	0.55	000	22:07	0.60	000	04:38	0.45	14:30	0.45
2021-06-20	10:00	0.55	000	22:48	0.60	000	04:47	0.45	15:27	0.45
2021-06-21	10:31	0.55	000	23:23	0.60	000	05:04	0.45	16:14	0.40
2021-06-22	11:02	0.60	000	23:55	0.60	000	05:25	0.45	16:58	0.40
2021-06-23	11:36	0.60	000	--:--	--.--	---	05:47	0.40	17:41	0.40
2021-06-24	00:25	0.60	000	12:13	0.60	000	06:12	0.40	18:25	0.40
2021-06-25	00:53	0.60	000	12:53	0.60	000	06:41	0.40	19:09	0.40
2021-06-26	01:20	0.60	000	13:36	0.60	000	07:12	0.40	19:51	0.40
2021-06-27	01:45	0.60	000	14:22	0.60	000	07:46	0.40	20:31	0.40
2021-06-28	02:09	0.55	000	15:12	0.60	000	08:23	0.40	21:11	0.45
2021-06-29	02:28	0.55	000	16:07	0.60	000	09:03	0.40	21:51	0.45
2021-06-30	02:41	0.55	000	17:10	0.55	000	09:51	0.45	22:35	0.50
