Site : Le Palais (Belle-Ile) (Morbihan)
latitude : 47.349998 - longitude : -3.150000
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	11:12	3.80	040	23:55	3.85	036	05:27	1.95	18:03	2.10
2021-08-02	12:52	3.75	034	--:--	--.--	---	06:27	2.10	19:09	2.15
2021-08-03	01:26	3.75	033	14:15	3.85	035	07:35	2.15	20:17	2.10
2021-08-04	02:40	3.85	037	15:11	4.00	041	08:43	2.05	21:16	1.95
2021-08-05	03:35	4.00	045	15:54	4.25	050	09:37	1.85	22:06	1.70
2021-08-06	04:19	4.20	055	16:31	4.45	060	10:22	1.65	22:49	1.45
2021-08-07	04:57	4.40	064	17:06	4.65	069	11:01	1.40	23:28	1.20
2021-08-08	05:32	4.60	073	17:40	4.85	077	11:39	1.20	--:--	--.--
2021-08-09	06:06	4.75	081	18:14	5.00	084	00:06	1.00	12:16	1.05
2021-08-10	06:41	4.85	086	18:50	5.05	088	00:43	0.85	12:52	0.95
2021-08-11	07:16	4.90	089	19:26	5.05	089	01:20	0.80	13:29	0.90
2021-08-12	07:53	4.85	088	20:04	5.00	086	01:57	0.80	14:08	0.90
2021-08-13	08:31	4.75	084	20:46	4.85	080	02:37	0.85	14:51	1.00
2021-08-14	09:14	4.55	076	21:33	4.60	071	03:21	1.05	15:38	1.20
2021-08-15	10:08	4.35	066	22:34	4.30	060	04:09	1.30	16:32	1.40
2021-08-16	11:23	4.15	055	--:--	--.--	---	05:06	1.55	17:36	1.65
2021-08-17	00:04	4.10	051	12:58	4.10	049	06:15	1.75	18:52	1.75
2021-08-18	01:44	4.05	048	14:23	4.25	050	07:35	1.80	20:12	1.65
2021-08-19	03:05	4.25	054	15:29	4.50	060	08:51	1.60	21:24	1.35
2021-08-20	04:07	4.45	066	16:22	4.80	072	09:54	1.35	22:23	1.05
2021-08-21	04:56	4.70	078	17:07	5.05	083	10:48	1.05	23:14	0.80
2021-08-22	05:37	4.85	088	17:46	5.20	091	11:34	0.85	23:59	0.65
2021-08-23	06:12	4.95	093	18:20	5.25	094	12:17	0.75	--:--	--.--
2021-08-24	06:42	4.95	095	18:52	5.25	094	00:40	0.60	12:57	0.70
2021-08-25	07:10	4.90	092	19:23	5.10	089	01:19	0.65	13:35	0.80
2021-08-26	07:37	4.80	085	19:53	4.90	081	01:56	0.80	14:12	1.00
2021-08-27	08:05	4.60	076	20:25	4.65	071	02:32	1.05	14:49	1.30
2021-08-28	08:36	4.40	065	21:00	4.35	059	03:08	1.35	15:27	1.60
2021-08-29	09:12	4.15	052	21:42	4.05	046	03:46	1.65	16:10	1.90
2021-08-30	10:00	3.85	040	22:44	3.75	034	04:29	2.00	17:03	2.15
2021-08-31	11:27	3.65	030	--:--	--.--	---	05:25	2.25	18:13	2.30
