Site : Entrée Baie de Somme (Somme)
latitude : 50.235233 - longitude : 1.472300
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	06:02	7.95	045	18:26	7.85	040	00:38	2.75	12:57	2.90
2021-08-02	06:58	7.50	036	19:30	7.50	034	01:26	3.10	13:52	3.25
2021-08-03	08:14	7.30	033	20:49	7.40	035	02:31	3.35	15:05	3.40
2021-08-04	09:31	7.40	037	22:00	7.65	041	03:49	3.35	16:23	3.25
2021-08-05	10:35	7.80	045	22:57	8.05	050	05:01	3.05	17:29	2.90
2021-08-06	11:26	8.25	055	23:44	8.50	060	06:00	2.60	18:23	2.50
2021-08-07	12:10	8.70	064	--:--	--.--	---	06:50	2.25	19:11	2.15
2021-08-08	00:27	8.90	069	12:51	9.05	073	07:36	1.90	19:55	1.85
2021-08-09	01:06	9.20	077	13:29	9.35	081	08:19	1.65	20:36	1.65
2021-08-10	01:44	9.45	084	14:07	9.55	086	09:00	1.45	21:16	1.45
2021-08-11	02:22	9.60	088	14:45	9.60	089	09:38	1.30	21:54	1.40
2021-08-12	03:00	9.65	089	15:22	9.60	088	10:15	1.30	22:30	1.40
2021-08-13	03:39	9.55	086	16:00	9.45	084	10:51	1.40	23:07	1.60
2021-08-14	04:17	9.30	080	16:39	9.20	076	11:27	1.65	23:45	1.85
2021-08-15	04:59	9.00	071	17:23	8.85	066	12:06	2.00	--:--	--.--
2021-08-16	05:48	8.60	060	18:18	8.45	055	00:30	2.20	12:54	2.40
2021-08-17	06:54	8.15	051	19:35	8.15	049	01:27	2.55	13:59	2.80
2021-08-18	08:21	7.95	048	21:03	8.20	050	02:44	2.75	15:25	2.85
2021-08-19	09:45	8.20	054	22:20	8.55	060	04:11	2.55	16:48	2.55
2021-08-20	10:57	8.65	066	23:26	9.05	072	05:25	2.15	17:59	2.15
2021-08-21	11:57	9.15	078	--:--	--.--	---	06:33	1.75	19:03	1.75
2021-08-22	00:20	9.45	083	12:47	9.55	088	07:32	1.45	19:57	1.45
2021-08-23	01:07	9.75	091	13:30	9.80	093	08:21	1.25	20:41	1.30
2021-08-24	01:48	9.90	094	14:08	9.85	095	09:02	1.15	21:20	1.25
2021-08-25	02:25	9.85	094	14:43	9.80	092	09:38	1.20	21:54	1.35
2021-08-26	02:59	9.70	089	15:15	9.60	085	10:09	1.40	22:23	1.60
2021-08-27	03:31	9.40	081	15:46	9.30	076	10:36	1.70	22:49	1.95
2021-08-28	04:02	9.00	071	16:16	8.90	065	10:59	2.05	23:12	2.30
2021-08-29	04:32	8.55	059	16:46	8.40	052	11:24	2.50	23:42	2.75
2021-08-30	05:06	8.00	046	17:23	7.85	040	11:59	2.95	--:--	--.--
2021-08-31	05:51	7.45	034	18:19	7.30	030	00:24	3.20	12:47	3.50
